datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-29,0,24579,0.0,-1,132,68,6511
2020-07-29,0,18802,0.0,-1,560,213,29762
2020-07-29,0,61133,71.0,-1,3914,208868,71095
2020-07-29,0,63387,1.0,-1,124,143,18476
2020-07-29,0,13808,0.0,-1,448,189,6383
2020-07-29,0,44864,0.0,-1,2264,1293,39529
2020-07-29,0,175141,0.0,-1,1197,973,187832
2020-07-29,0,227220,4.0,-1,1194,1577,388050
2020-07-29,0,2154,0.0,-1,661,67,1542
2020-07-29,0,42500,0.0,-1,794,287,81839
2020-07-29,0,47168,0.0,-1,2126,1529,138202
2020-07-29,0,175615,1.0,-1,603,848,133589
2020-07-29,0,51008,0.0,-1,248,201,51192
2020-07-29,0,87140,1.0,-1,2250,2332,179951
2020-07-29,0,68975,0.0,-1,1575,649,70126
2020-07-29,0,636113,0.0,-1,4923,2436,362427
2020-07-29,0,19690,0.0,-1,211,45,3926
2020-07-29,0,2365,0.0,-1,1455,1110,8333
2020-07-29,0,4387,1.0,-1,349,617,16690
2020-07-29,0,90868,1.0,-1,302,524,152249
2020-07-29,0,27797,1.0,-1,66,104,17319
2020-07-29,0,18839,0.0,-1,348,290,20159
2020-07-29,0,6624,0.0,-1,761,379,6556
2020-07-29,0,564,0.0,-1,12,8,284
2020-07-29,0,20991,0.0,-1,2571,2510,47074
2020-07-29,0,125193,0.0,-1,1938,363,69007
2020-07-30,0,57210,5.0,-1,86859,510575,197973
2020-07-30,0,1584,245.0,-1,260,45273,181198
2020-07-30,0,84848,3.0,-1,231,678,95960
2020-07-30,0,86338,0.0,-1,2466,1197,96347
2020-07-30,0,599,0.0,-1,787,756,15149
2020-07-29,0,10733,0.0,-1,175,169,90123
2020-07-30,3,31989,3.0,-1,4186,12690,81207
2020-07-30,0,1102,0.0,-1,352,109,2002
2020-07-30,0,24470,1.0,-1,1356,1727,23665
2020-07-30,0,33829,0.0,-1,947,664,40112
2020-07-30,0,78212,0.0,-1,1321,468,76301
2020-07-30,0,132409,0.0,-1,4255,3773,223420
2020-07-30,0,51596,0.0,-1,12126,11640,89187
2020-07-30,0,47433,1.0,-1,4097,1811,33655
2020-07-30,0,2,0.0,-1,6,7,510
2020-07-30,0,1134,0.0,-1,27,20,1145
2020-07-31,0,503584,0.0,-1,5001,1376,289221
2020-07-30,0,177639,1.0,-1,2605,4370,257763
2020-07-31,0,289,0.0,-1,282,137,492
2020-07-31,0,1876,0.0,-1,699,165,2349
2020-07-31,1,1705,0.0,-1,248,103,1477
2020-07-31,0,108,1.0,-1,94,102,382
2020-07-31,0,70563,1.0,-1,384,617,25044
2020-07-31,0,1132,1.0,-1,2009,2750,36351
2020-07-31,3,26470,28.0,-1,1013,16429,14491
2020-07-31,0,8751,0.0,-1,455,429,15447
2020-08-01,0,328327,2.0,-1,324,822,408543
2020-08-01,0,4969,0.0,-1,498,345,12478
2020-08-01,0,4467,1.0,-1,501,750,33116
2020-08-01,1,478,3.0,-1,714,2312,2279
2020-08-01,0,88,0.0,-1,180,21,941
2020-08-01,0,40,0.0,-1,86,5,174
2020-08-01,0,165228,2.0,-1,393,693,75912
2020-08-01,0,1187,0.0,-1,287,45,506
2020-08-01,0,835,0.0,-1,30,3,48
2020-08-02,3,29619,177.0,-1,954,164408,217923
2020-08-02,0,5697,1.0,-1,447,478,21883
2020-08-02,0,46699,3.0,-1,230,807,45318
2020-08-02,0,161217,0.0,-1,5025,4783,90766
2020-08-02,0,12820,0.0,-1,455,238,11530
2020-08-02,0,3352,0.0,-1,1181,470,18866
2020-08-02,0,48766,2.0,-1,1751,4220,27424
2020-08-02,0,553,0.0,-1,29,15,285
2020-08-02,0,11248,2.0,-1,647,1849,9841
2020-08-02,8,46139,1.0,-1,1677,1679,23894
2020-08-02,0,13,0.0,-1,81,10,29
2020-08-02,0,173968,1.0,-1,1004,3284,30479
2020-08-02,0,146741,1.0,-1,830,807,127020
2020-08-01,2,26470,27.0,-1,1013,16429,14491
2020-08-02,0,23634,0.0,-1,843,624,3540
2020-08-02,0,351,0.0,-1,56,53,377
2020-08-02,0,401,0.0,-1,40,6,103
2020-08-03,0,10450,1.0,-1,1872,2832,1812
2020-08-02,0,17461,1.0,-1,1377,1780,16790
2020-08-03,0,11122,0.0,-1,720,485,13189
2020-08-03,0,36064,9.0,-1,419,7633,78884
2020-08-03,0,1979,0.0,-1,550,263,5821
2020-08-03,7,10458,8.0,-1,1278,12641,9277
2020-08-02,2,26470,27.0,-1,1013,16429,14491
2020-08-02,0,97,0.0,-1,16,1,101
2020-08-03,0,3,0.0,-1,5,2,58
2020-08-04,0,22174,0.0,-1,2408,1758,52314
2020-08-04,0,38744,0.0,-1,885,881,12670
2020-08-04,0,7991,0.0,-1,388,148,13540
2020-08-04,0,37615,0.0,-1,1676,930,42591
